filename,width,height,class,xmin,ymin,xmax,ymax
100Dollar_100_jpg.rf.616e2f4f56518feaa6fb1c37e0ca2fef.jpg,640,640,100Dollar,39,629,124,494
100Dollar_100_jpg.rf.9db34664534e4a01a65fcd8262b1d4a9.jpg,640,640,100Dollar,39,629,124,494
100Dollar_100_jpg.rf.b5101637ff8b5fa28a865de8645a04a3.jpg,640,640,100Dollar,39,629,124,494
100Dollar_101_jpg.rf.724302f26f53b9cc472e8805e635b06a.jpg,640,640,100Dollar,173,529,130,405
100Dollar_101_jpg.rf.c3332ea38e70013ea82eb52c7eab727f.jpg,640,640,100Dollar,173,529,130,405
100Dollar_101_jpg.rf.c84b577ace07f724b198aecaa9f6d012.jpg,640,640,100Dollar,173,529,130,405
100Dollar_102_jpg.rf.b6c1883036e72540777bb96d3ac5bfa2.jpg,640,640,100Dollar,5,635,7,314
100Dollar_102_jpg.rf.c20c7e5d469be8bb0fe4c4f979eb1ecc.jpg,640,640,100Dollar,5,635,7,314
100Dollar_102_jpg.rf.d34a9544d673662b9dd47e9c75e24942.jpg,640,640,100Dollar,5,635,7,314
100Dollar_103_jpg.rf.827216250f5d4aedbfa0b56612832556.jpg,640,640,100Dollar,23,621,322,606
100Dollar_103_jpg.rf.9605acdcde07c4f46c20cb74bfedc3ae.jpg,640,640,100Dollar,23,621,322,606
100Dollar_103_jpg.rf.d77272620cf85f83aecac8f64ae67822.jpg,640,640,100Dollar,23,621,322,606
100Dollar_104_jpg.rf.0583b333b130c3aff6b7fffe78857377.jpg,640,640,100Dollar,4,319,321,631
100Dollar_104_jpg.rf.0f5f09c406e36b9fdac3a7e4f119b9de.jpg,640,640,100Dollar,4,319,321,631
100Dollar_104_jpg.rf.2d2eb2568642be9422b3b3333e5b5cf4.jpg,640,640,100Dollar,4,319,321,631
100Dollar_105_jpg.rf.307757b80a790c66aceda2e0b66c7f23.jpg,640,640,100Dollar,16,618,40,590
100Dollar_105_jpg.rf.4352baf1e2904b873778c15837e226c7.jpg,640,640,100Dollar,16,618,40,590
100Dollar_105_jpg.rf.58d4f6d281a63f5eb9cae14a3d8a4a64.jpg,640,640,100Dollar,16,618,40,590
100Dollar_106_jpg.rf.3dec089afab32fff65fa7ebaae1d0e92.jpg,640,640,100Dollar,35,620,325,618
100Dollar_106_jpg.rf.987235ea81c576f6f2749c69c245a154.jpg,640,640,100Dollar,35,620,325,618
100Dollar_106_jpg.rf.9a8108643a6877df42967acc22e23620.jpg,640,640,100Dollar,35,620,325,618
100Dollar_107_jpg.rf.396842f7ab8201332f19c07d0382c589.jpg,640,640,100Dollar,3,636,1,630
100Dollar_107_jpg.rf.9b138edff70c07bd5d2b00c8a9a2f7bb.jpg,640,640,100Dollar,3,636,1,630
100Dollar_107_jpg.rf.e5977415730c673219a6d1cca8ec723d.jpg,640,640,100Dollar,3,636,1,630
100Dollar_108_jpg.rf.00f83c57c3eb3f778823eda8ff9fbaf7.jpg,640,640,100Dollar,51,606,69,495
100Dollar_108_jpg.rf.493b2546128a9fcee80c1f05928a8220.jpg,640,640,100Dollar,51,606,69,495
